pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
5303963,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6229025,2,9,1,1,1,1,1,1,5,3,0,1,9,10,25000,25000
8926428,2,9,1,1,1,2,2,1,4,6,1,1,9,11,12000,12000
7820498,2,9,2,1,1,2,2,1,5,6,2,1,9,0,0,0
1271621,2,9,1,1,1,2,2,0,8,1,0,1,9,10,50000,50000
1506942,0,9,1,2,2,1,1,0,0,9,1,1,1,12,25000,25000
7343403,2,9,1,1,1,2,2,1,1,11,1,1,9,0,0,0
6674131,2,9,1,1,1,2,2,0,0,1,0,1,9,11,5000,5000
7136166,2,9,1,1,1,2,2,13,13,3,0,1,9,12,25000,25000
9671510,0,9,1,2,2,1,1,0,0,10,0,1,3,0,37500,37500
3263127,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9754266,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9132109,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4127758,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8962284,2,9,2,1,1,2,2,0,0,5,0,2,9,0,0,0
4078611,2,9,1,1,1,2,2,1,0,1,1,1,9,10,10000,10000
5383391,2,9,1,1,1,1,1,0,0,3,2,1,9,11,27000,27000
5098275,2,9,1,1,1,1,1,36,31,5,0,1,9,8,50000,50000
9867726,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6694028,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4513747,2,9,1,1,1,1,1,0,0,0,0,1,9,0,34000,34000
5703993,2,9,1,1,1,2,2,5,6,10,0,2,9,0,0,0
6143015,2,9,1,1,1,1,1,0,0,18,3,1,9,7,50000,50000
2847789,2,9,1,1,1,2,2,1,1,3,1,1,9,7,25000,25000
9919036,2,9,1,1,1,2,2,0,0,2,0,1,9,8,25000,25000
6004369,2,9,1,1,1,1,1,12,8,3,1,1,9,5,53000,53000
1861819,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
2696235,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9795605,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8694848,2,9,1,1,1,2,2,0,6,4,1,1,9,9,12500,12500
7209414,2,9,1,1,1,2,2,0,0,11,2,1,9,10,10000,10000
6772775,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4242261,2,9,1,1,1,2,2,1,5,5,0,1,9,10,7250,7250
1927734,2,9,1,1,1,2,2,1,14,2,0,1,9,0,10000,10000
2965808,2,9,1,1,1,2,2,10,5,5,0,1,9,0,0,0
9925373,2,9,1,1,1,2,2,1,0,6,0,1,9,10,10000,10000
9606812,2,9,1,1,1,2,2,0,0,0,0,1,9,0,52000,52000
2312071,0,9,1,2,2,1,1,0,0,0,0,1,3,0,91200,91200
7176019,0,9,1,2,2,1,1,5,3,3,3,1,1,10,75000,0
7491756,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4305908,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9547588,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5658677,2,9,1,1,1,2,2,0,1,14,0,1,9,10,10000,10000
3896857,2,9,1,1,1,2,2,0,0,13,0,1,9,11,11000,11000
4628940,2,9,1,1,1,2,2,1,1,4,2,1,9,11,5000,5000
1930164,2,9,1,1,1,1,1,1,10,10,4,1,1,12,75000,75000
3570804,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9734838,2,9,2,1,1,1,1,1,6,4,1,1,9,12,50000,50000
8859974,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4240230,2,9,1,1,1,1,1,0,0,3,2,1,9,10,27000,27000
4046733,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2042177,2,9,2,1,1,2,2,1,3,5,2,1,9,8,27000,27000
7374642,2,9,1,1,1,2,2,17,13,3,1,1,9,9,25000,25000
2369655,2,9,1,1,1,1,1,0,11,11,1,1,9,11,25000,25000
7646071,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4743372,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4323163,2,9,1,1,1,2,2,1,5,4,0,1,9,10,25000,25000
9492826,2,9,1,1,1,2,2,0,0,7,1,1,9,10,50000,50000
7994716,0,9,1,2,2,1,1,0,12,0,1,1,3,12,0,0
3451789,0,9,1,2,2,1,1,0,4,6,5,1,3,10,25000,25000
1144995,2,9,1,1,1,2,2,0,0,8,3,1,9,10,5000,5000
2302134,2,9,1,1,1,2,2,1,7,3,1,1,9,10,25000,25000
2688217,2,9,1,1,1,2,2,43,31,5,7,1,9,8,79500,79500
3363677,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2442702,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1539442,0,9,1,2,2,1,1,2,0,5,0,1,3,1,75000,75000
1620863,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3024205,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9310554,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3181112,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7991886,2,9,1,1,1,2,2,1,0,12,0,1,9,11,25000,25000
4594942,0,9,1,2,2,1,1,1,3,3,1,1,3,10,50000,50000
5883685,2,9,1,1,1,2,2,1,4,3,1,1,9,11,27000,27000
7448683,2,9,1,1,1,2,2,0,8,4,0,1,9,11,12000,12000
9741044,2,9,2,1,1,1,1,1,4,1,0,1,9,11,52000,52000
7089587,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4847498,2,9,1,1,1,2,2,1,0,5,1,2,9,0,0,0
5653404,2,9,1,1,1,2,2,0,0,0,0,1,9,0,5000,5000
1410224,1,9,1,1,1,1,1,0,0,25,0,1,9,10,50000,50000
7671118,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3798511,0,9,1,2,2,1,1,5,5,4,0,1,3,0,0,0
1695318,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4915273,2,9,1,1,1,2,2,1,0,21,4,1,9,10,77000,77000
3982619,0,9,1,2,2,1,1,0,0,0,0,1,3,0,75000,75000
1826660,2,9,1,1,1,2,2,3,5,5,2,2,9,0,0,0
8651211,2,9,2,1,1,1,1,0,0,0,0,1,9,0,0,0
8057058,0,9,2,2,2,1,1,0,0,0,0,1,3,0,0,0
4417480,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7681618,2,9,1,1,1,2,2,1,0,9,1,1,9,11,50000,50000
2186978,0,9,1,2,2,1,1,1,2,5,1,1,3,10,37500,37500
1132287,2,9,1,1,1,2,2,1,20,14,3,1,9,11,25000,25000
8141559,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8813561,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4378140,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4277878,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8389425,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4237250,2,9,1,1,1,1,1,1,1,14,1,1,9,10,52000,52000
5223434,0,9,1,2,2,1,1,0,25,30,10,1,3,11,50000,50000
3440715,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9179742,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1576634,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3951841,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4022169,2,9,1,1,1,2,2,0,0,0,0,1,9,11,25000,25000
3015661,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6557184,0,9,2,2,2,1,1,0,0,10,4,1,3,10,50000,50000
6270142,2,9,1,1,1,1,1,1,7,11,3,1,9,11,92000,92000
8449205,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5590254,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3105928,2,9,1,1,1,1,1,1,5,6,2,1,9,11,75000,75000
4715441,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2527681,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3547898,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
3438890,0,9,2,2,2,1,1,0,1,1,1,1,3,10,0,0
7894682,2,9,1,1,1,2,2,0,0,0,0,1,9,10,25000,25000
8011285,2,9,2,1,1,2,2,0,1,0,1,1,9,10,15000,15000
9910306,2,9,1,1,1,2,2,1,0,4,2,1,9,10,0,0
7899488,0,9,2,2,2,1,1,0,0,0,0,1,3,0,0,0
7426830,2,9,1,1,1,1,1,0,4,3,0,1,9,11,50000,50000
6521416,2,9,1,1,1,1,1,1,0,3,1,1,9,8,25000,25000
3708646,2,9,1,1,1,2,2,1,1,2,0,1,9,0,10000,10000
7835610,2,9,2,1,1,2,2,1,1,3,1,1,9,0,5000,5000
9745273,2,9,2,1,1,2,2,1,2,3,1,2,9,0,0,0
9699284,1,9,2,1,1,2,2,1,3,3,1,2,9,0,0,0
4494065,2,9,1,1,1,2,2,1,0,3,0,1,9,0,5000,5000
4689758,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
8302265,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
1867201,2,9,1,1,1,2,2,1,0,4,0,1,9,11,14500,14500
6369206,2,9,1,1,1,2,2,1,7,3,1,1,9,10,25000,25000
8310997,2,9,1,1,1,2,2,1,3,1,0,1,9,11,10000,10000
4117906,2,9,1,1,1,2,2,1,4,2,1,1,9,11,13500,13500
6154106,2,9,1,1,1,2,2,0,0,0,0,2,9,0,0,0
4473301,0,9,1,2,2,1,1,0,0,0,0,1,3,0,25000,25000
2709333,2,9,2,1,1,2,2,1,1,2,0,1,9,0,25000,25000
6395842,2,9,1,1,1,2,2,1,0,18,4,1,9,10,25000,25000
6208073,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1890627,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8764308,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
6050039,2,9,1,1,1,2,2,1,1,3,0,1,9,11,10000,10000
1754857,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
1407211,2,9,2,1,1,2,2,0,0,2,0,1,9,10,10000,10000
8956862,2,9,1,1,1,2,2,1,1,3,0,1,9,0,10000,10000
4586467,2,9,1,1,2,2,2,1,0,1,0,2,9,0,0,0
1286234,2,9,1,1,1,2,2,1,0,1,3,2,9,0,0,0
1883589,2,9,1,1,1,2,2,5,1,0,0,1,9,0,25000,25000
1350134,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7650634,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
1697130,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
1715550,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
4319254,0,9,2,2,2,1,1,0,0,0,0,1,3,0,25000,25000
3290515,2,9,1,1,1,2,2,1,0,2,1,1,9,8,25000,25000
2487094,2,9,1,1,1,2,2,1,0,3,0,2,9,0,0,0
7811739,2,9,2,1,1,2,2,1,0,3,0,1,9,0,10000,10000
2610381,0,9,1,2,2,1,2,1,1,2,1,2,2,0,25000,25000
7177085,2,9,2,1,1,2,2,1,0,2,0,1,9,0,27000,27000
8914489,2,9,2,1,1,2,2,1,3,3,1,1,9,11,50000,25000
6273004,0,9,1,2,2,1,1,3,4,2,2,1,3,11,75000,75000
1855214,2,9,1,1,1,2,2,1,2,4,0,1,9,10,10000,10000
2599806,2,9,2,1,1,2,2,1,0,3,0,1,9,9,14500,14500
2070122,2,9,1,1,1,2,2,4,4,4,0,2,9,0,0,0
4216785,0,9,1,2,2,1,1,0,5,4,0,1,9,11,25000,25000
8742538,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3563846,2,9,2,1,1,2,2,1,3,5,0,1,9,11,10000,10000
8495434,2,9,2,1,1,2,2,1,3,4,1,1,9,11,12500,12500
1575886,2,9,1,1,1,2,2,1,10,2,2,1,9,9,25000,25000
6074140,0,9,2,2,2,1,1,1,7,2,5,1,3,8,50000,50000
1237957,2,9,1,1,1,2,2,1,3,3,0,2,9,0,0,0
2735562,2,9,2,1,1,1,1,0,0,4,0,1,9,11,50200,50200
3414204,2,9,1,1,1,2,2,0,0,4,0,1,9,11,5000,5000
3553052,2,9,1,1,1,2,2,1,0,4,1,1,9,10,12500,12500
6756269,2,9,1,1,1,2,2,1,1,2,1,1,9,0,10000,10000
5139875,2,9,1,1,1,2,2,0,0,5,1,1,9,0,10000,10000
3323074,2,9,1,1,1,2,2,0,2,0,0,1,9,0,12500,12500
6612393,2,9,1,1,1,1,1,1,0,2,0,1,9,8,50000,50000
2751107,2,9,2,1,1,2,2,1,1,3,0,2,9,0,0,0
4353931,2,9,1,1,1,2,2,1,2,6,3,1,9,11,15000,15000
7248516,2,9,1,1,1,1,1,0,0,5,0,1,9,12,25000,25000
2188813,2,9,1,1,1,2,2,4,0,2,0,1,9,0,0,0
9728309,0,9,1,2,2,1,1,0,0,0,0,1,3,0,0,0
3686853,2,9,1,1,1,2,2,1,1,2,2,1,9,0,11980,11980
9473750,2,9,1,1,1,2,2,1,0,3,1,1,9,0,25000,2500
9633554,2,9,1,1,1,2,2,1,0,4,0,1,9,0,0,0
5693400,0,9,2,2,2,1,1,1,3,3,5,1,3,10,50000,50000
7832349,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
6243477,2,9,1,1,1,2,2,0,0,0,0,1,9,0,6980,6980
8390997,2,9,1,1,1,1,1,2,0,2,0,1,9,0,25000,25000
5414387,2,9,2,1,1,2,2,1,0,1,0,1,9,7,25000,25000
1821093,0,9,2,2,2,1,1,2,0,1,1,1,3,0,0,0
2822395,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
9135195,2,9,1,1,1,2,2,0,0,0,0,1,9,8,25000,25000
5279040,2,9,1,1,1,2,2,1,1,5,0,1,9,0,10000,0
6951362,2,9,1,1,1,2,2,0,0,2,0,1,9,10,10000,0
5595658,2,9,2,1,1,2,2,0,0,0,0,1,9,0,0,0
4417188,2,9,1,1,1,2,2,0,0,0,0,1,9,11,25000,25000
6516205,0,9,1,2,2,2,1,0,0,0,0,1,3,0,0,0
9238335,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
2333551,2,9,1,1,1,2,2,3,0,3,0,1,9,8,50000,50000
3676142,0,9,1,2,2,1,1,1,1,1,1,1,1,5,70000,70000
2718069,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6419296,2,9,1,1,1,2,2,1,0,5,1,2,9,0,9500,9500
2155391,0,9,1,2,2,1,1,2,4,8,3,1,3,10,37500,37500
7949804,2,9,1,1,1,2,2,1,0,5,0,1,9,0,10000,10000
1173184,2,9,1,1,1,2,2,1,0,4,0,1,9,4,0,0
4252170,2,9,1,1,1,1,1,1,5,4,2,1,9,9,50000,50000
1822107,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
6995095,2,9,1,1,1,2,2,0,0,2,0,1,9,10,10000,10000
1023295,2,9,1,1,1,2,2,1,1,3,0,1,9,8,12000,12000
9847088,2,9,1,1,1,2,2,1,9,1,0,1,9,10,12500,12500
6732712,0,9,1,2,2,1,1,1,0,5,0,1,3,10,25000,25000
3035949,2,9,1,1,1,1,1,1,5,8,1,1,9,0,0,0
3478166,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
8963306,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
6382044,2,9,1,1,1,2,2,5,4,4,0,2,9,0,0,0
8437857,0,9,1,2,2,1,1,0,2,3,1,1,3,0,25000,25000
5411469,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3055660,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
8453698,2,9,1,1,1,2,2,1,0,1,1,1,9,11,10000,10000
5746569,2,9,2,1,1,2,2,1,8,1,1,1,9,8,10000,10000
3713929,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7177050,2,9,1,1,1,2,2,0,1,6,1,1,9,0,5000,5000
4796045,2,9,1,1,1,2,2,1,3,2,0,1,9,0,12500,12500
1873540,2,9,1,1,1,2,2,1,0,2,0,1,9,10,10000,10000
8672473,2,9,1,1,1,2,2,1,0,3,1,1,9,10,25000,25000
7511208,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4056747,1,9,1,1,1,2,2,1,0,4,0,1,9,8,12500,0
6652465,2,9,1,1,1,2,2,1,5,4,1,2,9,0,0,0
6855116,2,9,1,1,1,2,2,1,0,3,1,1,9,9,25000,25000
8950333,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6592290,0,9,1,2,2,1,1,5,10,10,5,1,3,10,50000,50000
9815243,2,9,1,1,1,2,2,0,0,8,1,1,9,9,25000,25000
1604298,2,9,1,1,1,2,2,0,0,3,2,1,9,0,25000,25000
6990959,2,9,1,1,1,2,2,1,0,1,1,1,9,11,10000,10000
6803591,2,9,1,1,1,2,2,1,0,1,1,1,9,11,25000,25000
1839206,0,9,1,2,2,1,1,0,0,0,0,1,3,0,25000,25000
8765897,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
3719876,2,9,2,1,1,2,2,0,0,0,0,1,9,0,0,0
2210568,2,9,1,1,1,2,2,1,2,3,1,1,9,11,25000,25000
1418912,0,9,1,2,2,1,1,0,0,0,0,1,3,0,0,0
5291849,2,9,1,1,1,2,2,1,0,1,0,1,9,8,7000,7000
5100285,2,9,1,1,1,2,2,0,0,3,1,1,9,8,14500,14500
6434878,2,9,1,1,1,1,1,1,2,5,2,1,9,11,52500,52500
5560906,2,9,1,1,1,2,2,1,0,3,0,1,9,11,12500,12500
3772544,2,9,1,1,1,2,2,0,0,0,0,1,9,11,0,0
9413546,2,9,2,1,1,2,2,0,0,0,0,1,9,10,15000,15000
6316830,2,9,1,1,1,1,1,0,0,5,0,1,9,9,25300,25300
7805073,2,9,1,1,1,2,2,5,4,5,0,1,9,0,12500,12500
8573230,2,9,1,1,1,1,1,1,10,5,0,1,9,10,50000,50000
6513580,2,9,1,1,1,2,2,1,0,4,0,1,9,7,50000,50000
8378235,0,9,1,2,2,1,1,1,5,2,4,1,3,6,46780,46780
1832680,2,9,1,1,1,2,2,0,9,3,0,1,9,0,46050,46050
1506558,0,9,2,2,2,1,1,3,2,4,1,1,3,6,50000,50000
6417786,2,9,1,1,1,2,2,0,0,0,2,1,9,8,25000,25000
6642358,2,9,1,1,1,2,2,4,0,6,0,1,9,9,15493,15493
5023931,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4555245,2,9,1,1,1,2,2,0,0,0,0,1,9,0,12500,12500
1696639,2,9,1,1,1,2,2,1,0,15,0,1,9,6,39500,39500
4917711,0,9,1,2,2,1,1,1,6,5,2,1,3,4,75000,75000
5309335,0,9,1,2,2,1,1,12,9,3,5,1,3,10,37500,37500
6291742,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4848917,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9416114,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3702831,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2413657,2,9,1,1,1,1,1,0,7,3,2,1,9,10,54850,54850
6814779,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
3441268,2,9,2,1,1,2,2,1,2,2,0,1,9,0,25000,25000
3555775,0,9,1,2,2,1,1,0,10,0,10,1,3,0,50000,0
2466841,2,9,1,1,1,1,1,0,0,0,0,2,9,0,0,0
1525409,2,9,1,1,1,2,2,1,0,1,0,1,9,10,12500,12500
8172201,2,9,1,1,1,2,2,1,2,3,0,1,9,10,12000,12000
9496180,2,9,1,1,1,2,2,12,6,4,0,2,9,0,0,0
9790159,2,9,1,1,1,2,2,0,0,10,0,1,9,11,10000,10000
9516144,2,9,2,1,1,2,2,1,3,4,1,1,9,9,7000,7000
8554482,2,9,1,2,2,2,2,0,0,0,0,1,9,0,0,0
6781149,2,9,2,1,1,2,2,0,0,0,0,1,9,0,0,0
7829130,0,9,1,2,2,1,1,0,0,0,0,1,2,0,0,0
5765258,0,9,1,2,2,1,1,1,3,3,2,1,3,2,0,0
7988563,2,9,2,1,1,1,1,1,0,5,0,1,9,11,52000,52000
6064108,2,9,1,2,1,2,2,1,4,8,0,2,9,0,0,0
4175501,2,9,1,1,1,1,1,0,4,2,1,1,9,9,25000,25000
3562935,2,9,1,1,1,2,2,1,0,2,0,1,9,9,52000,52000
5367316,2,9,1,1,1,2,2,13,9,4,0,1,9,0,5000,5000
3628402,0,9,1,2,2,1,1,0,0,0,0,1,3,0,0,0
8968830,2,9,1,1,1,2,2,1,2,2,2,1,9,9,50000,50000
1909940,0,9,1,2,2,1,1,1,15,10,4,1,3,8,75000,75000
9928907,2,9,2,1,1,1,1,1,1,1,0,1,9,10,28000,28000
1638174,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4301490,2,9,1,1,1,2,2,1,0,2,0,1,9,10,14500,14500
5137062,2,9,1,1,1,2,2,0,0,6,0,1,9,11,27750,27750
4469811,2,9,1,1,1,2,2,1,0,2,1,2,9,0,0,0
9278097,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9637594,2,9,1,1,1,1,1,1,3,1,0,1,9,20,69750,69750
2853856,2,9,1,1,1,2,2,1,0,6,0,1,9,9,13500,13500
8659547,2,9,1,1,1,2,2,6,2,4,0,1,9,0,0,0
9516352,1,9,1,1,1,2,2,1,1,4,1,1,9,9,32838,32838
9048119,2,9,1,1,1,2,2,1,0,5,0,1,9,8,52800,52800
2864373,0,9,1,2,2,1,1,3,3,2,3,1,1,10,75000,75000
7370906,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8367819,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9714902,2,9,1,1,1,2,2,1,0,1,0,1,9,10,20100,15200
1227731,2,9,2,1,1,2,2,1,2,0,1,1,9,0,25000,25000
6128316,2,9,1,1,1,2,2,1,0,2,0,2,9,0,0,0
1029781,2,9,1,1,1,2,2,1,0,2,0,1,9,11,20000,20000
8538437,2,9,2,1,1,2,2,1,0,1,2,1,9,3,14500,14500
8893647,2,9,1,1,1,2,2,0,0,0,0,1,9,9,10000,10000
9779579,2,9,1,1,1,1,1,0,0,2,0,1,9,12,53000,53000
6923177,2,9,1,1,1,2,2,1,0,4,0,1,9,11,14500,14500
7031784,0,9,1,2,2,1,1,0,0,0,0,1,3,0,0,0
7036348,2,9,1,1,1,2,2,0,1,4,0,1,9,8,75000,0
2111952,0,9,1,2,2,1,1,1,8,0,2,1,3,11,75000,75000
3813732,0,9,1,2,2,1,1,0,4,8,0,1,3,0,77500,77500
5810510,2,9,1,1,1,2,2,0,0,0,0,1,9,0,10000,10000
3911717,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1124208,2,9,1,1,1,2,2,0,5,7,1,1,9,8,12000,12000
2841508,2,9,2,1,1,1,1,1,2,6,1,1,9,0,0,0
1681064,2,9,1,1,1,2,2,0,1,4,1,1,9,10,25000,25000
7078075,2,9,1,1,1,2,2,13,10,3,0,1,9,11,24500,24500
9367604,2,9,1,1,1,2,2,0,0,4,0,1,9,6,10000,10000
4637984,2,9,1,1,1,1,1,2,0,11,0,1,9,12,50000,50000
5997950,2,9,1,1,1,2,2,0,5,4,2,1,9,8,12000,12000
7803585,2,9,1,1,1,2,2,3,0,0,0,1,9,8,25000,25000
3230049,2,9,1,1,1,1,1,0,0,9,0,1,9,9,54800,54800
8824539,2,9,1,1,1,2,2,0,0,4,0,1,9,10,27000,27000
9459344,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3447119,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5985736,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4346273,2,9,1,1,1,2,2,1,0,3,1,1,9,10,27000,27000
8118167,2,9,1,1,1,2,2,0,0,2,0,1,9,10,12500,12500
1784277,2,9,1,1,1,1,1,0,0,0,0,1,9,11,17500,17500
1164292,2,9,1,1,1,2,2,0,0,3,0,1,9,9,14650,14650
4630511,2,9,1,1,1,2,2,0,0,3,0,1,9,10,10000,10000
4865353,2,9,1,1,1,2,2,2,0,2,0,1,9,11,15000,15000
1691474,2,9,1,1,1,1,1,0,3,3,1,1,9,10,50000,50000
9601284,2,9,1,1,1,2,2,1,0,0,0,2,9,0,0,0
3388404,2,9,1,1,1,2,2,13,9,4,0,1,9,11,64500,64500
7626240,2,9,1,1,1,2,2,1,0,2,0,1,9,11,5000,5000
7550010,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7780699,0,9,1,2,2,1,1,0,0,0,0,1,3,8,50000,0
6244598,2,9,1,1,1,2,2,2,4,6,1,1,9,10,27950,27950
9646536,2,9,1,1,1,1,1,0,1,1,0,1,9,6,50600,50600
1716066,2,9,2,1,1,2,2,1,0,0,0,1,9,0,7000,5000
